धात्री,12
सूचिः,12
तैलम्,12
युद्धम्,11
कक्षा,11
प्राकृतिकघटना,11
ह्रदः,11
प्रमाणम्,11
धर्मग्रन्थः,11
लिपी,11
वासरः,11
क्रीडनकम्,11
अध्यापकः,11
दण्डकवृत्तः,11
हस्ताभूषणम्,11
नौः,11
दुर्गा,11
उपकरणभागः,11
स्वरः,11
स्वरः,11
स्तनपायिजन्तुः,11
कल्पितजीवः,11
कल्पना,11
महापुरुषः,11
मादकद्रव्यम्,11
आदिमजातिः,11
तन्त्रम्,11
ज्वरः,11
कुसूलः,11
वेदना,11
छादनम्,11
दिवसः,10
अनुभूतिः,10
शिक्षा,10
नाणकम्,10
शिल्पी,10
बाला,10
खलः,10
उरगः,10
अप्राचुर्यम्,10
स्वभावः,10
शस्त्रम्,10
जरायुजजन्तुः,10
शासनम्,10
विवरम्,10
आघातः,10
परिणामः,10
भावः,10
सौजन्यम्,10
मतम्,10
गजः,10
शासनम्,10
विक्रेता,10
चित्रम्,10
रसः,10
अवसथः,10
सेना,10
खड्गः,10
सामाजिककार्यम्,10
अग्निहोत्रम्,10
गुरुः,10
कोशिका,10
ग्रन्थिः,10
समितिः,10
श्रुतिः,10
शारीरिक-कार्यम्,10
पत्रम्,10
दूरता,10
पवित्रस्थानम्,10
भक्तिः,10
श्रेणी,10
राज्ञी,9
अर्थः,9
भ्राता,9
सदापर्णवृक्षः,9
पङ्क्तिः,9
कार्यालयम्,9
अष्टतालः,9
भगिनी,9
सम्बन्धः,9
काण्डः,9
पटहः,9
सदस्यः,9
दन्त्यवर्णः,9
धर्मस्थलम्,9
दण्डः,9
द्वादशी,9
पाकसाधनम्,9
शिरोभूषणम्,9
प्रमुखः,9
ग्रन्थकारः,9
राजपुत्रः,9
नामधेयम्,9
आदरः,9
पर्णम्,9
विभूतिः,9
वणिक्,9
प्रस्थानम्,9
आज्ञा,9
स्वाभाविकक्रिया,9
नायिका,9
रसः,9
खगोलीयपिण्डः,9
मांसाहारी,9
कर्मकरः,9
पादाभूषणम्,9
गण्डः,9
सिद्धान्तः,9
समाप्तिः,9
चूर्णः,9
उद्योगः,9
वर्णनम्,9
ध्वजः,9
निर्माता,9
धर्माचार्यः,9
अङ्गवः,9
कलाकृतिः,9
प्रतियोगिता,9
काव्यालङ्कारः,9
यौगिकपदार्थः,9
योग्यता,9
यात्रिकः,9
मन्दिरम्,8
प्रयोगः,8
मुहूर्तः,8
उपवासः,8
घटम्,8
क्रम,8
प्राकृतभाषा,8
गायकः,8
वर्षा,8
स्वातंत्र्यसैनिकः,8
बीजगुप्तिः,8
तडागः,8
विद्या,8
वक्तव्यम्,8
परिधानीयभागः,8
इन्द्रियम्,8
भुवनम्,8
शङ्खः,8
अष्टमी,8
मलः,8
समवायः,8
तालव्यः,8
मित्रम्,8
स्नेहः,8
वातरोगः,8
कारकम्,8
अङ्कः,8
विषम्,8
वनस्पति-अङ्गम्,8
मार्गः,8
महाराज्ञी,8
वर्तुलम्,8
पृष्ठास्थिमान्,8
द्वारम्,8
शुकः,8
अधिकारः,8
मृदा,8
वृजिनः,7
राजर्षिः,7
पौराणिकजनः,7
पञ्चमी,7
वार्ता,7
घट्टः,7
तारा,7
अपत्यम्,7
षष्ठी,7
पत्रम्,7
धर्मानुयायी,7
पृष्ठवंशहीनजीवः,7
विवरणम्,7
अङ्गुलिः,7
यन्त्रभागः,7
ह्रदः,7
वसुः,7
तनया,7
मूर्तिः,7
यानम्,7
पोली,7
वीरः,7
घटीयन्त्रम्,7
केशसमूहः,7
अपराधः,7
कुलपर्वतः,7
विभागः,7
वाहनम्,7
ऊतिः,7
मूल्यम्,7
दुःखावस्था,7
लगुडः,7
भूतकालः,7
अन्तरङ्गम्,7
वंशजः,7
व्ययः,7
निर्धारित-समयः,7
धर्मः,7
उत्पादनम्,7
अधःचरः,7
अभ्यासः,7
आपणकः,7
ग्रहपीडनम्,7
कण्ठ्यवर्णः,7
प्रदर्शनम्,7
निर्णयः,7
विद्यालयः,7
वार्तालापम्,7
रात्रिः,7
जन्तुऊतकः,7
अग्निजिह्वा,7
आख्यातम्,7
सागरः,7
लेखनपुस्तिका,7
नीतिः,7
मर्यादा,7
हरितम्,7
दिग्गजः,7
योजना,6
यत्नः,6
निर्गमनम्,6
असिमार्गाः,6
विवाहिता,6
योगः,6
काव्यग्रन्थः।,6
सङ्कटम्,6
चिन्तनम्,6
रक्षणम्,6
वीक्षा,6
पदाधिकारी,6
परित्यागः,6
व्यापारिकः,6
प्रान्तः,6
लेखः,6
मक्षिका,6
रतिबन्धः,6
वैज्ञानिकः,6
विद्याधरः,6
स्यूतकः,6
सप्तमी,6
चतुर्थी,6
आधारः,6
यक्षिणी,6
सेवा,6
समासः,6
प्रस्तावः,6
चालनी,6
वर्गः,6
शिखरम्,6
अनुपातः,6
सैनिकः,6
प्राकृतिकक्रिया,6
आरोपः,6
अप्राकृतिकस्थानम्,6
प्रस्तारः,6
शब्दकोशः,6
परिमाणम्,6
स्थलसेना,6
खनिज-पदार्थः,6
पुरीषम्,6
चित्रक्रिया,6
शिल्पकारः,6
महर्षिः,6
विस्तारः,6
कण्टकी-क्षुपः,6
अवसरः,6
श्राद्धम्,6
अजः,6
घनवाद्यम्,6
रक्षकः,6
गायकपक्षी,6
हत्या,6
दन्तः,6
हस्तोपकरणम्,6
मात्रिकगणः,6
संयोगः,6
धारा,6
पत्रम्,6
क्रीडकः,6
यवनिका,6
संरचना,6
प्राप्तिः,6
कपोतः,6
पञ्जरम्,6
विनाशः,6
वायुः,6
रश्मिः,6
सर्वकारः,6
समाजः,6
दर्शनशास्त्रम्,6
सम्पुटः,6
सङ्गीतम्,6
पापम्,6
श्रद्धा,6
ऋणम्,6
चलनम्,6
कृषिकर्म,6
ओष्ठ्यवर्णः,6
अधिकारः,6
योद्धा,6
जलजन्तुः,6
प्रकाशः,6
ग्रामः,6
मूलम्,6
स्तम्भः,6
प्रसेवकः,6
स्नानम्,6
युगम्,6
दिक्,6
मन्दिरम्,6
कणः,6
धर्मसभा,6
शास्त्रीय-नृत्यम्,6
प्रवर्तकः,6
कल्पितस्थानम्,6
गुरुः,6
सुखावस्था,6
प्रकाश-उपकरणम्	तद् उपकरणं यद् प्रकाशं यच्छति।:"दीपकः प्रच्छन्नदीपः इत्यादीनि प्रकाश-उपकरणानि सन्ति।",6
समुद्रकुक्षिः,5
वाक्यम्,5
क्रोधः,5
शिष्यः,5
भक्तः,5
प्रच्छदपटः,5
शुल्कम्,5
हिमः,5
हास्यः,5
संस्था,5
वैरम्,5
विषयः,5
लोहसुषिः,5
गृहम्,5
स्पर्धा,5
छेदनी,5
पुरोहितः,5
अभिव्यक्तिः,5
स्वामी,5
लेखनी,5
पुष्पाङ्गम्,5
वाणिज्यम्,5
अनुचरी,5
खाद्यमांसम्,5
आसनम्,5
धनुः,5
चलनम्,5
युगम्,5
वर्तमानकालः,5
निवेदनम्,5
हस्तभागः,5
स्थलयानम्,5
प्रकारः,5
सूत्रम्,5
वक्ता,5
कृषि-उपकरणम्,5
धूमकेतुः,5
सम्प्रदायः,5
श्वा,5
विषयः,5
सम्पत्तिः,5
समाधिः,5
शारीरिकद्रव्यम्,5
उपदिक्,5
सभा,5
आयोगः,5
चर्म,5
गणनम्,5
आसुरी,5
विज्ञानम्,5
सङ्कल्पः,5
वीजनम्,5
प्रमाणपत्रम्,5
महाद्वीपम्,5
अनुकरणम्,5
वेदः,5
कणः,5
सन्धिः,5
सभा,5
व्यायामः,5
लेखः,5
वृष्टिः,5
दूरवेधिनी,5
दर्शनज्ञः,5
वृषभः,5
मतम्,5
सीमा,5
पारिश्रमिक,5
प्रार्थना,5
फलकः,5
कूपः,5
शिखरम्,5
वर्णः,5
प्रवाहः,5
रूप्यकम्,5
परामर्शकः,5
अर्कः,5
धनराशिः,5
शिल्पी,5
दिनाङ्कः,5
नवमी,5
स्तूपः,5
घण्टा,5
सङ्ग्रहः,5
तण्डुलः,5
परीक्षणम्,5
प्रत्यन्तपर्वतम्,5
कुष्ठरोगः,5
सूत्रग्रन्थनसाधनम्,5
कृन्तकजन्तुः,5
क्रान्तिकारी,5
भाटकः,5
शर्करा,5
ऋतुः,5
अध्ययनम्,5
बिडालजातीयपशुः,5
जलयानम्,5
लवणितम्,5
नियुक्तिः,5
आपाकः,5
प्रशासनसंस्था,5
नैपुण्यम्,5
धर्मशास्त्रम्,5
आवृत्तिः,5
निन्दा,5
आनन्दः,5
अञ्जनम्,5
आश्रमः,5
वादः,5
चन्दनम्,5
अनर्हता,5
अपकारः,5
विद्यापीठम्,5
राजप्रासादः,5
जालम्,5
कवचम्,5
अग्रः,5
सचिवः,5
मण्डूकः,5
लेपः,5
तृतीया,5
महासागरः,5
तीरम्,5
संवत्सर,5
कालः,5
आकाशयानम्,5
व्यञ्जनम्,5
लोकगीतम्,5
वाद्यम्,5
दूतः,5
शय्या,5
जलीयपादपः,5
केन्द्रम्,5
पशुयानम्,5
कर्तव्यम्,5
पशुशाला,5
शब्दालङ्कारः,5
आरम्भः,5
त्रयोदशी,4
शरीरम्,4
न्यग्रोधः,4
